tweet_id,sentiment,author,content,langue_detectee
1957082503,worry,teenicky,@jessicaduncan http://twitpic.com/662vk -  WHY DO U LOT MOCK ME!!!,hr
1957148490,neutral,itsael,ups ketauan cabut sama @gemamalove @chikachilo nih,hr
1957220804,love,feelthesexism,i wanna be love drunk,hr
1957238377,neutral,jrj12,..i graduate today,hr
1957468342,hate,el7omed,"just woke up, I'm starving",hr
1957587933,surprise,wenli,@swpave ?????????????,hr
1961476247,hate,Alex1014,projects suck,hr
1962238302,worry,VagabondJuggle,needs a job,hr
1962318209,love,hkim1130,@2TuffDC i dunno what i'm gonna do. i love my skinny jeans!,hr
1962848340,empty,julnas,"@bardicus i gotta say, i'm a little jealous",hr
1963585709,neutral,addictedtotext,@jess_lokelani  i have no idea!,hr
1964498296,fun,sylviango,@skotcarruth i like it,hr
1965291661,sadness,BeDatGirl,i think i just good stood up...,hr
1965296729,love,CandiceMegan,@DaniDROPDEAD13 oi  i love you,hr
1965758611,worry,gempol,just wake up.and i got flu  http://plurk.com/p/x2zp6,hr
1966094089,sadness,ana16castillo,"i miss him  ALOT but im not gonna talk to him, i HOPE",hr
1966207508,hate,saritairene,Shots suuuuck!  im done  no more vacines!,hr
1966208572,worry,kayyteeebeee,i'm a bum today,hr
1966285917,neutral,OneLovelyLibra,@jennahmonet jennah can u just tell jay i said good night plz? im asking nicely!,hr
1966429457,worry,javierapazgc,@tomasgomez i miss you too,hr
1694183902,relief,karikaz,@sickophantikmnd now i'm done! good nite,hr
1694421056,neutral,dtega07,@jojoUK55 Have a good day,hr
1694422678,enthusiasm,Miamiaa,@LeaLunacy Make a videoblog!,hr
1694438433,worry,cathzz,@Aligonzalez43 its ok. im juz curious,hr
1694549521,neutral,thiekitty,i just reading a magazine,hr
1694549798,enthusiasm,coriluvnthedon,@veronica11258 ok i got you! Knight!,hr
1694567283,neutral,LBOI,@logoholik a pleasure Bojan,hr
1695107402,neutral,pkBLGdonahue,@nakedxa ok.. take care,hr
1695191679,neutral,redbrickroad,SO BORED.,hr
1695509776,neutral,EstyleZ,@Poshpinkla goodmorning,hr
1695512693,sadness,shassi88,has a new nick name - arosh ..i like i like,hr
1695884387,enthusiasm,rubenerd,"@jerrynovak Thanks, hope you have a good one",hr
1750999802,happiness,DannieLovesYou,"@jojowright http://twitpic.com/4w24f - ooh, nice score, jojo!",hr
1751466155,hate,kaeb,@tracekase GO TO BED!!!,hr
1751783731,fun,MilkNSilver,I've got jam! Oh yea.,hr
1751985334,fun,DJLEZLEE,@nickiminaj pleeeeeease pleeeease make me a dj drop,hr
1752446074,happiness,FmyLife22,Im glad i can make sumone smile,hr
1752503151,empty,cHuMeee,just woke up from a nap...,hr
1752590796,sadness,SUGARvampchick,@jtimberlake DAMN YOU KILLED IT ON SNL...THAT WAS GOOD STUFF I WAS CRYING W/LAUGHTER @jimmyfallon broke you i love it,hr
1753032017,worry,carakikay,save me--i feel like i'm going crazy.  ? http://blip.fm/~5z193,hr
1753051169,empty,imsoapee,@sjrozas LOL. About to leave.,hr
1753117585,surprise,misstetiana,@gulersem Kazim Kazim  i didn't know that name ))),hr
1753276269,worry,cupkakebuttons,@jesssseca i won't make u cry,hr
1753600086,love,TobyWanKenoby,So drunk!  Love u guys!,hr
1753729451,neutral,RememberMe0_0,just woke up,hr
1753758972,love,eliiiiza,@maenad_au I love it,hr
1753854867,neutral,8sneezes1orgasm,@nomaditation  oo? u?op ?p?sdn ??d?? ss???sn s??? u?????? ???? ? 'p??? o? p??? ?no? ?u?u?n? ?q ?o?p? u? ?o ??o? ???? ?oo? o? ???? o? ?sn?,hr
